RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
0x30b4 스레드가 종료되었습니다(코드: 0 (0x0)).
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
RECV : 1 , 31 , 252 , 170 , 3 , 0 , 0 , 170 , 2 , 0 , 0 , 170 , 
